Question,"Score
zero (none), one (a litte), two (somewhat), three (a lot).",Evidence
,87,
Video,3,spendwise/README.md at main · ojas1901/spendwise (github.com)
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",3,Contributors to ojas1901/spendwise (github.com)
Number of commits,3,Atleast 674 commits were made
Number of commits: by different people,3,Contributors to ojas1901/spendwise (github.com)
Issues reports: there are many,3,3 open 5 closed https://github.com/ojas1901/spendwise/issues
Issues are being closed,3,5 closed: https://github.com/ojas1901/spendwise/issues
DOI badge: exists,3,https://github.com/ojas1901/spendwise/blob/main/README.md
"Docs: doco generated, format not ugly",3,Not ugly https://github.com/ojas1901/spendwise/blob/main/README.md
Docs: what: point descriptions of each class/function (in isolation),3,Each function has a docstring to it which explains what the function does
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,Animated GIFs for every function in readme https://github.com/ojas1901/spendwise/blob/main/README.md
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,GH readme youtube video: https://github.com/ojas1901/spendwise/blob/main/README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Video is hosted on repo
Use of version control tools,3,Project hosted on github
Use of style checkers,3,https://github.com/ojas1901/spendwise/actions  (pylint config file in repo)
Use of code formatters.,3,https://github.com/ojas1901/spendwise/actions  (pylint config file in repo)
Use of syntax checkers.,3,https://github.com/ojas1901/spendwise/actions (pylint config file in repo)
Use of code coverage:,3,Codecov (code cov config file in repo)
Other automated analysis tools,3,Some linting is there (pylint config file in repo)
Test cases exist,3,https://github.com/ojas1901/spendwise/tree/main/test
Test cases are routinely executed,3,Always run on pull request. https://github.com/ojas1901/spendwise/actions
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/ojas1901/spendwise/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,3,"Issues are discussed on github
https://github.com/ojas1901/spendwise/issues"
Chat channel: exists,3,We used notion as a chat and ideation channel. We also used whatsapp and zoom for communications whenever possible. https://www.notion.so/Project-3-SE-Fall-2023-Group-17-b04c0788365e4746b9344b4fb818b24d?pvs=4
Test cases: a large proportion of the issues related to handling failing cases.,3,Some bugs were fixed but they were not recognized using tests
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,"Yes, no access control and open-source"
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/ojas1901/spendwise/commits/main
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,https://github.com/ojas1901/spendwise/commits/main
Evidence that the members of the team are working across multiple places in the code base,3,"https://github.com/ojas1901/spendwise/commits/main
yes"
Short release cycles,3,Since it was a short span project we did a lot of commits. We also did a release based on it https://github.com/ojas1901/spendwise/releases
Sustainability Questions,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Yes there is high level overview on the readme page (https://github.com/ojas1901/spendwise/blob/main/README.md)
Does your website and documentation clearly describe the type of user who should use your software?,yes,The software is a bot to be used by anyone. The readme page mentions it https://github.com/ojas1901/spendwise/blob/main/README.md
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,Yes,Sample use cases in readme file (https://github.com/ojas1901/spendwise/blob/main/README.md)
Question 2.1: Is the name of your project/software unique?*,yes,Spendwise is a unique name
Question 2.2: Is your project/software name free from trademark violations?*,No,The name spendwise is not trademark violated
Question 3.1: Is your software available as a package that can be deployed without building it?,Yes,Yes we created a release where the software can be downloaded in a zip file (here)
Question 3.2: Is your software available for free?*,Yes,Yes it is open source
